Presidente;Mandato;Data;Aprova;Desaprova;Não sabe/Não respondeu;Taxa de juros - Over/Selic (% a.m.);Inflação - IPCA (% a.m.) ;Taxa de desemprego (%);;
Fernando Henrique Cardoso ;2;01/09/1999;26;66;8;1,4871;0,31;7,40;;
Fernando Henrique Cardoso ;2;01/11/1999;26;65;9;1,3865;0,95;7,32;;
Fernando Henrique Cardoso ;2;01/02/2000;33;56;11;1,4509;0,13;8,1600;
Fernando Henrique Cardoso ;2;01/05/2000;31;60;9;1,4939;0,01;7,7900;
Fernando Henrique Cardoso ;2;01/08/2000;31;57;12;1,4054;1,31;7,1400;
Fernando Henrique Cardoso ;2;01/12/2000;39;54;8;1,1982;0,59;4,83;
Fernando Henrique Cardoso ;2;01/03/2001;42;48;10;1,2579;0,38;6,46;
Fernando Henrique Cardoso ;2;01/06/2001;30;62;8;1,2733;0,52;6,38;
Fernando Henrique Cardoso ;2;01/09/2001;33;58;9;1,3243;0,28;6,15;
Fernando Henrique Cardoso ;2;01/12/2001;33;59;7;1,3935;0,65;5,60;
Fernando Henrique Cardoso ;2;01/03/2002;40;52;9;1,3713;0,60;12,9;
Fernando Henrique Cardoso ;2;01/06/2002;43;48;9;1,3290;0,42;11,6;
Fernando Henrique Cardoso ;2;01/09/2002;34;58;8;1,3813;0,72;11,5;
Fernando Henrique Cardoso ;2;01/10/2002;35;57;8;1,6459;1,31;11,2;
Luiz Inácio Lula da Silva;1;01/03/2003;75;13;12;1,7770;1,23;12,1;
Luiz Inácio Lula da Silva;1;01/06/2003;70;18;11;1,8567;-0,15;13,0;
Luiz Inácio Lula da Silva;1;01/09/2003;69;24;8;1,6795;0,78;12,9;
Luiz Inácio Lula da Silva;1;01/12/2003;66;25;9;1,3733;0,52;10,9;
Luiz Inácio Lula da Silva;1;01/03/2004;54;39;7;1,3791;0,47;12,8;
Luiz Inácio Lula da Silva;1;01/06/2004;51;42;7;1,2299;0,71;11,7;
Luiz Inácio Lula da Silva;1;01/09/2004;55;36;8;1,2513;0,33;10,9;
Luiz Inácio Lula da Silva;1;01/11/2004;62;30;7;1,2510;0,69;10,6;
Luiz Inácio Lula da Silva;1;01/03/2005;58;33;9;1,5282;0,61;10,8;
Luiz Inácio Lula da Silva;1;01/06/2005;55;38;7;1,5856;-0,02;9,4;
Luiz Inácio Lula da Silva;1;01/09/2005;45;49;6;1,5031;0,35;9,6;
Luiz Inácio Lula da Silva;1;01/12/2005;42;52;6;1,4736;0,36;8,3;
Luiz Inácio Lula da Silva;1;01/03/2006;55;39;6;1,4223;0,43;10,4;
Luiz Inácio Lula da Silva;1;01/06/2006;60;34;6;1,1844;-0,21;10,4;
Luiz Inácio Lula da Silva;1;01/07/2006;55;36;9;1,17;-0,21;10,8;
Luiz Inácio Lula da Silva;1;01/09/2006;62;32;6;1,0573;0,21;10,0;
Luiz Inácio Lula da Silva;1;01/12/2006;71;23;6;0,9879;0,48;8,4;
Luiz Inácio Lula da Silva;2;01/03/2007;65;29;5;1,0522;0,37;10,1;
Luiz Inácio Lula da Silva;2;01/06/2007;66;30;5;0,9056;0,28;9,7;
Luiz Inácio Lula da Silva;2;01/09/2007;63;33;4;0,8050;0,18;9,0;
Luiz Inácio Lula da Silva;2;01/12/2007;65;30;5;0,8447;0,74;7,4;
Luiz Inácio Lula da Silva;2;01/03/2008;73;22;4;0,8446;0,48;8,6;
Luiz Inácio Lula da Silva;2;01/06/2008;72;24;3;0,9556;0,74;7,8;
Luiz Inácio Lula da Silva;2;01/09/2008;80;17;4;1,1031;0,26;7,6;
Luiz Inácio Lula da Silva;2;01/12/2008;84;14;2;1,1241;0,28;6,8;
